"continent","year","population","data_complete"
"Africa",1960,280622858,TRUE
"Africa",1961,287411776,TRUE
"Africa",1962,294471579,TRUE
"Africa",1963,301791299,TRUE
"Africa",1964,309384117,TRUE
"Africa",1965,317237043,TRUE
"Africa",1966,325373344,TRUE
"Africa",1967,333866334,TRUE
"Africa",1968,342707204,TRUE
"Africa",1969,351827649,TRUE
"Africa",1970,361229391,TRUE
"Africa",1971,370887428,TRUE
"Africa",1972,380762610,TRUE
"Africa",1973,391157828,TRUE
"Africa",1974,402092890,TRUE
"Africa",1975,413552391,TRUE
"Africa",1976,425502313,TRUE
"Africa",1977,437527065,TRUE
"Africa",1978,450049747,TRUE
"Africa",1979,463052366,TRUE
"Africa",1980,476397011,TRUE
"Africa",1981,490898869,TRUE
"Africa",1982,506193852,TRUE
"Africa",1983,521248897,TRUE
"Africa",1984,536401370,TRUE
"Africa",1985,552136956,TRUE
"Africa",1986,568132766,TRUE
"Africa",1987,584489967,TRUE
"Africa",1988,601242751,TRUE
"Africa",1989,618309054,TRUE
"Africa",1990,635729166,TRUE
"Africa",1991,653301168,TRUE
"Africa",1992,671049545,TRUE
"Africa",1993,688901896,TRUE
"Africa",1994,706416001,TRUE
"Africa",1995,724320660,TRUE
"Africa",1996,742798868,TRUE
"Africa",1997,761411398,TRUE
"Africa",1998,780648972,TRUE
"Africa",1999,800385878,TRUE
"Africa",2000,820514280,TRUE
"Africa",2001,841232614,TRUE
"Africa",2002,862575703,TRUE
"Africa",2003,884512304,TRUE
"Africa",2004,907159873,TRUE
"Africa",2005,930542719,TRUE
"Africa",2006,954571338,TRUE
"Africa",2007,979315020,TRUE
"Africa",2008,1004953104,TRUE
"Africa",2009,1031337844,TRUE
"Africa",2010,1058450295,TRUE
"Africa",2011,1086266115,TRUE
"Africa",2012,1114827280,TRUE
"Africa",2013,1144329420,TRUE
"Africa",2014,1174264268,TRUE
"Africa",2015,1204623006,TRUE
"Africa",2016,1235192624,TRUE
"Africa",2017,1266300875,TRUE
"Africa",2018,1298257853,TRUE
"Africa",2019,1330258072,TRUE
"Africa",2020,1362430327,TRUE
"Africa",2021,1394718088,TRUE
"Africa",2022,1427311614,TRUE
"Africa",2023,1460602874,TRUE
"Americas",1960,414921759,TRUE
"Americas",1961,424376422,TRUE
"Americas",1962,433819178,TRUE
"Americas",1963,443282886,TRUE
"Americas",1964,452824496,TRUE
"Americas",1965,462224610,TRUE
"Americas",1966,471560401,TRUE
"Americas",1967,480849422,TRUE
"Americas",1968,490009018,TRUE
"Americas",1969,499156168,TRUE
"Americas",1970,508752444,TRUE
"Americas",1971,518994103,TRUE
"Americas",1972,528585820,TRUE
"Americas",1973,538075346,TRUE
"Americas",1974,547623550,TRUE
"Americas",1975,557428550,TRUE
"Americas",1976,567217149,TRUE
"Americas",1977,577241316,TRUE
"Americas",1978,587521542,TRUE
"Americas",1979,598011656,TRUE
"Americas",1980,608351576,TRUE
"Americas",1981,618767604,TRUE
"Americas",1982,629177793,TRUE
"Americas",1983,639611338,TRUE
"Americas",1984,650028593,TRUE
"Americas",1985,660510190,TRUE
"Americas",1986,671105677,TRUE
"Americas",1987,681736809,TRUE
"Americas",1988,692453938,TRUE
"Americas",1989,703429150,TRUE
"Americas",1990,714848441,TRUE
"Americas",1991,726698793,TRUE
"Americas",1992,738659045,TRUE
"Americas",1993,750428014,TRUE
"Americas",1994,761920736,TRUE
"Americas",1995,773321562,TRUE
"Americas",1996,784630349,TRUE
"Americas",1997,796016699,TRUE
"Americas",1998,807297394,TRUE
"Americas",1999,818489413,TRUE
"Americas",2000,829427389,TRUE
"Americas",2001,839861865,TRUE
"Americas",2002,849971019,TRUE
"Americas",2003,859686801,TRUE
"Americas",2004,869492243,TRUE
"Americas",2005,879178395,TRUE
"Americas",2006,889017499,TRUE
"Americas",2007,898801908,TRUE
"Americas",2008,908608759,TRUE
"Americas",2009,918169205,TRUE
"Americas",2010,927532428,TRUE
"Americas",2011,936692670,TRUE
"Americas",2012,945932221,TRUE
"Americas",2013,954979211,TRUE
"Americas",2014,964075834,TRUE
"Americas",2015,972972492,TRUE
"Americas",2016,981841132,TRUE
"Americas",2017,990277583,TRUE
"Americas",2018,998209442,TRUE
"Americas",2019,1005624735,TRUE
"Americas",2020,1011943703,TRUE
"Americas",2021,1016434286,TRUE
"Americas",2022,1022962648,TRUE
"Americas",2023,1031424003,TRUE
"Asia",1960,1687920311,TRUE
"Asia",1961,1706344109,TRUE
"Asia",1962,1737647416,TRUE
"Asia",1963,1780784322,TRUE
"Asia",1964,1824058023,TRUE
"Asia",1965,1867986034,TRUE
"Asia",1966,1914878744,TRUE
"Asia",1967,1961783489,TRUE
"Asia",1968,2010205795,TRUE
"Asia",1969,2060603228,TRUE
"Asia",1970,2112572398,TRUE
"Asia",1971,2165850614,TRUE
"Asia",1972,2217029144,TRUE
"Asia",1973,2268852355,TRUE
"Asia",1974,2319801483,TRUE
"Asia",1975,2368891520,TRUE
"Asia",1976,2416531501,TRUE
"Asia",1977,2463526432,TRUE
"Asia",1978,2510915153,TRUE
"Asia",1979,2559465812,TRUE
"Asia",1980,2608566238,TRUE
"Asia",1981,2658949741,TRUE
"Asia",1982,2712400504,TRUE
"Asia",1983,2766907175,TRUE
"Asia",1984,2820932644,TRUE
"Asia",1985,2875774920,TRUE
"Asia",1986,2932460243,TRUE
"Asia",1987,2991044298,TRUE
"Asia",1988,3050130801,TRUE
"Asia",1989,3109099713,TRUE
"Asia",1990,3169008615,TRUE
"Asia",1991,3226546517,TRUE
"Asia",1992,3283588335,TRUE
"Asia",1993,3339599848,TRUE
"Asia",1994,3394915257,TRUE
"Asia",1995,3449799105,TRUE
"Asia",1996,3504792196,TRUE
"Asia",1997,3559501968,TRUE
"Asia",1998,3613535501,TRUE
"Asia",1999,3666147273,TRUE
"Asia",2000,3717954753,TRUE
"Asia",2001,3769263696,TRUE
"Asia",2002,3819105051,TRUE
"Asia",2003,3867848227,TRUE
"Asia",2004,3916422993,TRUE
"Asia",2005,3964488659,TRUE
"Asia",2006,4012724721,TRUE
"Asia",2007,4060147815,TRUE
"Asia",2008,4107987240,TRUE
"Asia",2009,4155613803,TRUE
"Asia",2010,4201759496,TRUE
"Asia",2011,4250123452,TRUE
"Asia",2012,4299947050,TRUE
"Asia",2013,4348084600,TRUE
"Asia",2014,4394812361,TRUE
"Asia",2015,4440468081,TRUE
"Asia",2016,4485398858,TRUE
"Asia",2017,4529163911,TRUE
"Asia",2018,4569731870,TRUE
"Asia",2019,4609187125,TRUE
"Asia",2020,4646737023,TRUE
"Asia",2021,4676435690,TRUE
"Asia",2022,4708062920,TRUE
"Asia",2023,4740398099,TRUE
"Europe",1960,605198581,TRUE
"Europe",1961,610932494,TRUE
"Europe",1962,616791508,TRUE
"Europe",1963,622669397,TRUE
"Europe",1964,628536499,TRUE
"Europe",1965,634186050,TRUE
"Europe",1966,638942926,TRUE
"Europe",1967,643612191,TRUE
"Europe",1968,648082159,TRUE
"Europe",1969,652515270,TRUE
"Europe",1970,656279996,TRUE
"Europe",1971,660046351,TRUE
"Europe",1972,664350124,TRUE
"Europe",1973,668421704,TRUE
"Europe",1974,672230491,TRUE
"Europe",1975,675835633,TRUE
"Europe",1976,679353280,TRUE
"Europe",1977,682706509,TRUE
"Europe",1978,685992245,TRUE
"Europe",1979,689278565,TRUE
"Europe",1980,692848750,TRUE
"Europe",1981,696064951,TRUE
"Europe",1982,698697090,TRUE
"Europe",1983,701153597,TRUE
"Europe",1984,703761360,TRUE
"Europe",1985,706450128,TRUE
"Europe",1986,709213636,TRUE
"Europe",1987,712025857,TRUE
"Europe",1988,714905305,TRUE
"Europe",1989,717800591,TRUE
"Europe",1990,719969061,TRUE
"Europe",1991,721695848,TRUE
"Europe",1992,723237289,TRUE
"Europe",1993,724431630,TRUE
"Europe",1994,725153565,TRUE
"Europe",1995,725657895,TRUE
"Europe",1996,725991467,TRUE
"Europe",1997,726158173,TRUE
"Europe",1998,726268358,TRUE
"Europe",1999,726316103,TRUE
"Europe",2000,726001388,TRUE
"Europe",2001,725718166,TRUE
"Europe",2002,725865879,TRUE
"Europe",2003,726669840,TRUE
"Europe",2004,727696928,TRUE
"Europe",2005,728668202,TRUE
"Europe",2006,729730606,TRUE
"Europe",2007,731224298,TRUE
"Europe",2008,732855345,TRUE
"Europe",2009,734278212,TRUE
"Europe",2010,735339316,TRUE
"Europe",2011,735145786,TRUE
"Europe",2012,736477138,TRUE
"Europe",2013,737593833,TRUE
"Europe",2014,738864803,TRUE
"Europe",2015,740413505,TRUE
"Europe",2016,741994015,TRUE
"Europe",2017,743022198,TRUE
"Europe",2018,744128685,TRUE
"Europe",2019,744753888,TRUE
"Europe",2020,744208633,TRUE
"Europe",2021,742718978,TRUE
"Europe",2022,740277672,TRUE
"Europe",2023,739077966,TRUE
"Oceania",1960,15817391,TRUE
"Oceania",1961,16155998,TRUE
"Oceania",1962,16559714,TRUE
"Oceania",1963,16901143,TRUE
"Oceania",1964,17255837,TRUE
"Oceania",1965,17605138,TRUE
"Oceania",1966,18003095,TRUE
"Oceania",1967,18286193,TRUE
"Oceania",1968,18607193,TRUE
"Oceania",1969,18976782,TRUE
"Oceania",1970,19353774,TRUE
"Oceania",1971,19924029,TRUE
"Oceania",1972,20314094,TRUE
"Oceania",1973,20673677,TRUE
"Oceania",1974,21178852,TRUE
"Oceania",1975,21509547,TRUE
"Oceania",1976,21778946,TRUE
"Oceania",1977,22049664,TRUE
"Oceania",1978,22319541,TRUE
"Oceania",1979,22568011,TRUE
"Oceania",1980,22857345,TRUE
"Oceania",1981,23211999,TRUE
"Oceania",1982,23618516,TRUE
"Oceania",1983,23988157,TRUE
"Oceania",1984,24322343,TRUE
"Oceania",1985,24674702,TRUE
"Oceania",1986,25029059,TRUE
"Oceania",1987,25426816,TRUE
"Oceania",1988,25827278,TRUE
"Oceania",1989,26252559,TRUE
"Oceania",1990,26675840,TRUE
"Oceania",1991,27224834,TRUE
"Oceania",1992,27639672,TRUE
"Oceania",1993,28028869,TRUE
"Oceania",1994,28443884,TRUE
"Oceania",1995,28897385,TRUE
"Oceania",1996,29384221,TRUE
"Oceania",1997,29850716,TRUE
"Oceania",1998,30293679,TRUE
"Oceania",1999,30746561,TRUE
"Oceania",2000,31214551,TRUE
"Oceania",2001,31710903,TRUE
"Oceania",2002,32229152,TRUE
"Oceania",2003,32766370,TRUE
"Oceania",2004,33274840,TRUE
"Oceania",2005,33803902,TRUE
"Oceania",2006,34370216,TRUE
"Oceania",2007,35030481,TRUE
"Oceania",2008,35733615,TRUE
"Oceania",2009,36466904,TRUE
"Oceania",2010,37113375,TRUE
"Oceania",2011,37717585,TRUE
"Oceania",2012,38393650,TRUE
"Oceania",2013,39080138,TRUE
"Oceania",2014,39758706,TRUE
"Oceania",2015,40444961,TRUE
"Oceania",2016,41174371,TRUE
"Oceania",2017,41923569,TRUE
"Oceania",2018,42626400,TRUE
"Oceania",2019,43305578,TRUE
"Oceania",2020,43955748,TRUE
"Oceania",2021,44233341,TRUE
"Oceania",2022,44786740,TRUE
"Oceania",2023,45768939,TRUE
