country,continent,slope,Country Name,avg_population,slope_per_1000,block
Albania,EUROPE,-813.9034083917804,Albania,2667991.7538461536,-0.30506219039787674,Bottom (↓)
Algeria,Africa,-438.97169927402484,Algeria,26641746.292307694,-0.016476836557848675,Bottom (↓)
American Samoa,OCEANIA,35.44407530454042,American Samoa,42496.36923076923,0.8340494951949297,Bottom (↓)
Armenia,ASIA,-11331.14925556786,Armenia,2948654.0153846154,-3.842820892667481,Bottom (↓)
Azerbaijan,ASIA,-10177.345022763628,Azerbaijan,7292899.63076923,-1.3955142039559587,Bottom (↓)
Belarus,EUROPE,-5091.717484926788,Belarus,9505414.338461539,-0.5356649698397985,Bottom (↓)
Bosnia and Herzegovina,EUROPE,-1120.2511381813708,Bosnia and Herzegovina,3859446.0615384616,-0.2902621568792734,Bottom (↓)
Cambodia,ASIA,19.44161437184693,Cambodia,10073161.153846154,0.0019300410342808522,Bottom (↓)
Central African Republic,Africa,17.980927771625446,Central African Republic,3311546.4307692307,0.005429767677286862,Bottom (↓)
Comoros,Africa,-55.79032853451458,Comoros,475936.6461538462,-0.1172221743910016,Bottom (↓)
Croatia,EUROPE,-1053.15688445921,Croatia,4380591.923076923,-0.240414287144892,Bottom (↓)
Cuba,Latin America and the Caribbean,-945.3650793650794,Cuba,10211741.646153847,-0.09257628249155148,Bottom (↓)
Democratic Republic of the Congo,Africa,-4689.645133505599,,,,Bottom (↓)
El Salvador,Latin America and the Caribbean,54.62200073827981,El Salvador,5095934.446153847,0.010718740854193234,Bottom (↓)
Eritrea,Africa,53.53377630121816,Eritrea,2105603.969230769,0.025424427899789444,Bottom (↓)
Estonia,EUROPE,-4914.0600467577215,Estonia,1391991.8153846154,-3.5302363077472103,Bottom (↓)
Eswatini,Africa,-756.4347237603051,Eswatini,828762.1230769231,-0.9127283966018017,Bottom (↓)
Falkland Islands (Malvinas),Latin America and the Caribbean,42.33407161314138,,,,Bottom (↓)
Fiji,OCEANIA,40.868463147532914,Fiji,738883.4461538461,0.055311109431762144,Bottom (↓)
Georgia,ASIA,-4695.351913375169,Georgia,4144776.9384615384,-1.132835851745014,Bottom (↓)
Greenland,Latin America and the Caribbean,-79.48135843484681,Greenland,51865.2,-1.5324602707566308,Bottom (↓)
Guatemala,Latin America and the Caribbean,-3606.6909068536975,Guatemala,10212079.953846155,-0.3531788747399414,Bottom (↓)
Guinea,Africa,-16106.454534268487,Guinea,7594081.861538461,-2.1209219004923305,Bottom (↓)
Guinea-Bissau,Africa,-108.34231573766458,Guinea-Bissau,1142294.6615384615,-0.09484620683751366,Bottom (↓)
Haiti,Latin America and the Caribbean,24.469176818014027,Haiti,7397322.63076923,0.003307842315303954,Bottom (↓)
Holy See,EUROPE,-6.98535745047373,,,,Bottom (↓)
Honduras,Latin America and the Caribbean,-5219.243755383291,Honduras,5727905.215384616,-0.9111959013157013,Bottom (↓)
India,ASIA,-73316.57954964932,India,920345540.0,-0.07966201427960341,Bottom (↓)
Iran (Islamic Republic of),ASIA,-7990.76202780854,,,,Bottom (↓)
Kazakhstan,ASIA,-22539.844592100406,Kazakhstan,15551240.538461538,-1.4493920620901308,Bottom (↓)
Kiribati,OCEANIA,35.761535622000736,Kiribati,82806.15384615384,0.43187050673120686,Bottom (↓)
Kyrgyzstan,ASIA,-12729.283868586193,,,,Bottom (↓)
Latvia,EUROPE,-12221.014888642796,Latvia,2302813.553846154,-5.306992773353834,Bottom (↓)
Liberia,Africa,-2095.352036421804,Liberia,2780308.323076923,-0.7536401696999242,Bottom (↓)
Lithuania,EUROPE,-5224.734342315738,Lithuania,3244637.2153846156,-1.610267649505587,Bottom (↓)
Malawi,Africa,-16960.77174849268,Malawi,10322015.169230768,-1.6431647764916677,Bottom (↓)
Micronesia (Fed. States of),OCEANIA,-22.657315122431402,,,,Bottom (↓)
Montserrat,Latin America and the Caribbean,-12.207825765965302,,,,Bottom (↓)
Myanmar,ASIA,-1582.8732619662853,Myanmar,39600620.353846155,-0.0399709208548434,Bottom (↓)
Namibia,Africa,-414.3722160698905,Namibia,1530430.5076923077,-0.27075532929274293,Bottom (↓)
Nauru,OCEANIA,-17.375292235757353,Nauru,8914.015384615384,-1.9492104832739245,Bottom (↓)
Nepal,ASIA,-3475.0364218038635,Nepal,20402621.015384614,-0.17032303933810805,Bottom (↓)
Niue,OCEANIA,4.29801894918174,,,,Bottom (↓)
Northern Mariana Islands,OCEANIA,-371.8405315614618,Northern Mariana Islands,37120.4,-10.017147755990285,Bottom (↓)
Pakistan,ASIA,-43090.83831672204,Pakistan,132580248.0,-0.32501702905791846,Bottom (↓)
Palau,OCEANIA,34.07579672695952,Palau,15288.061538461538,2.228915460683619,Bottom (↓)
Papua New Guinea,OCEANIA,-38.91632828842131,Papua New Guinea,5109626.846153846,-0.007616275994344808,Bottom (↓)
Paraguay,Latin America and the Caribbean,-643.1335055986219,Paraguay,4257522.123076923,-0.15105817116314302,Bottom (↓)
Philippines,ASIA,-1655.8860588162913,Philippines,68733904.87692308,-0.024091255425999273,Bottom (↓)
Puerto Rico,Latin America and the Caribbean,-3405.338747385259,,,,Bottom (↓)
Republic of Moldova,EUROPE,-10647.511874000245,,,,Bottom (↓)
Russian Federation,EUROPE,-143708.66875845945,Russian Federation,140228292.83076924,-1.0248193560474304,Bottom (↓)
Saint Helena,Africa,11.318321643903039,,,,Bottom (↓)
Saint Lucia,Latin America and the Caribbean,51.76301218161683,,,,Bottom (↓)
Saint Pierre and Miquelon,Latin America and the Caribbean,-9.215085517411099,,,,Bottom (↓)
Saint Vincent and the Grenadines,Latin America and the Caribbean,24.463147532914974,,,,Bottom (↓)
Samoa,OCEANIA,-13.538575119970469,Samoa,171387.84615384616,-0.07899378762142549,Bottom (↓)
Sao Tome and Principe,Africa,-111.79229728066937,Sao Tome and Principe,133987.47692307693,-0.8343488499664042,Bottom (↓)
Serbia,EUROPE,-20757.54620401132,Serbia,7318021.230769231,-2.8364971280398157,Bottom (↓)
Sierra Leone,Africa,-3920.178786760182,Sierra Leone,4568668.184615385,-0.8580572342638194,Bottom (↓)
Solomon Islands,OCEANIA,-61.4645010458964,Solomon Islands,386664.8153846154,-0.158960677569687,Bottom (↓)
Somalia,Africa,-6176.679217423403,,,,Bottom (↓)
Sri Lanka,ASIA,-27.110495877937737,Sri Lanka,16861408.953846153,-0.0016078428529991693,Bottom (↓)
State of Palestine,ASIA,-396.3503137689184,,,,Bottom (↓)
Tajikistan,ASIA,-3661.270702596284,Tajikistan,5664832.984615385,-0.6463157364991348,Bottom (↓)
Timor-Leste,ASIA,-41.153808293343175,Timor-Leste,837864.6307692308,-0.04911749079986882,Bottom (↓)
Tokelau,OCEANIA,28.339854804971083,,,,Bottom (↓)
Tonga,OCEANIA,20.21976128952873,Tonga,96820.15384615384,0.2088383511728117,Bottom (↓)
Turkmenistan,ASIA,-3084.2255444813586,Turkmenistan,4077478.3076923075,-0.7564051386031553,Bottom (↓)
Tuvalu,OCEANIA,-1.4230343300110742,Tuvalu,8437.723076923077,-0.1686514616606737,Bottom (↓)
Ukraine,EUROPE,-50688.1196013289,Ukraine,47756118.76923077,-1.0613952914864435,Bottom (↓)
United Republic of Tanzania,Africa,-15439.59702227144,,,,Bottom (↓)
Uzbekistan,ASIA,-14734.22480620155,Uzbekistan,21201344.138461538,-0.6949665412709408,Bottom (↓)
Vanuatu,OCEANIA,31.306016980435587,Vanuatu,168676.24615384615,0.18559825520353357,Bottom (↓)
Wallis and Futuna Islands,OCEANIA,14.961117263442844,,,,Bottom (↓)
Zambia,Africa,-3049.446536237234,Zambia,9521234.923076924,-0.3202784681686818,Bottom (↓)
Zimbabwe,Africa,-3795.615110126738,Zimbabwe,9953787.153846154,-0.38132371643692503,Bottom (↓)
